id	filename	md5	size	state
da70974d-bdbc-41f1-bca2-6c6e02e0d12e	TCGA-C8-A133.C47488B4-0E7E-46FB-91C6-0BEA58695974.PDF	6a0bd4a5e27a4afcd0ae531e14cedf9f	406415	released
241647c2-b1ce-4aef-901c-5b0e484f414e	TCGA-E2-A573.14EB270E-0AAB-4C12-8D71-ED79076C2E93.PDF	be46bfe32a441e4c7168701a410b4827	337782	released
b5b104a5-319d-4650-a587-d6c01d419fdb	TCGA-BH-A1EV.16DEA43F-4A61-44E3-854F-6B6575B45628.PDF	6e47f483c01d243688107a599b07555f	82081	released
af8d9d58-d7ab-4728-aeeb-6ea6f2668162	nationwidechildrens.org_clinical.TCGA-BH-A1EV.xml	c6ae49d613cbe3db309839b994e45414	60158	released
64474b19-1313-493d-8d36-4da6c1e12f4d	TCGA-AR-A2LQ.C3537961-4636-4BD1-BC89-892580B36E43.PDF	3507c327a022b1b1f877b95844c06541	100383	released
ed3b7a41-a4ea-40ee-9555-b40ae23154d0	nationwidechildrens.org_clinical.TCGA-A8-A094.xml	e4d61c39e097a08ebf220f9f52269621	36313	released
036de64e-1a18-4ad7-b32d-717a1bf802bf	nationwidechildrens.org_clinical.TCGA-C8-A133.xml	4bacb41e59f9b4d439264f72a46e6f43	36720	released
5aaad587-f550-45b6-a348-d89e70f6a3f6	nationwidechildrens.org_clinical.TCGA-C8-A12U.xml	e1e435c82e28b995f06aa77b2644bbd5	50896	released
13124f82-c33c-406f-87dd-19bb23f0c00c	TCGA-AQ-A04J.71CEC5F6-16E5-46E1-A91B-B5E0F699B231.PDF	4b6a4410450cbd5afcb497ff15cf40cc	255578	released
2103fe4e-c511-4f07-a212-8bf24cd3aa95	nationwidechildrens.org_clinical.TCGA-C8-A12N.xml	25cb9c999a343aa79f2495466bbfe074	60461	released
bed8fea6-ae2b-4a9a-b917-dcc939d1c5be	nationwidechildrens.org_clinical.TCGA-AR-A1AI.xml	44f773a18a4249733b4fe083da45a4d9	84151	released
7f618e13-561c-4929-8be9-a5c89dff5e1a	nationwidechildrens.org_clinical.TCGA-AQ-A04J.xml	1041b707531795d29bf4bdd5eac92093	88649	released
e4a393a5-e533-4f02-b4cd-6ffcf6a2712f	nationwidechildrens.org_clinical.TCGA-B6-A2IU.xml	8df4c6c5b5eae14c12d0c8a76bbe1056	51272	released
87d5da6a-90ee-48e0-8d10-7bd532430f0f	nationwidechildrens.org_clinical.TCGA-LL-A5YO.xml	982841e3db7164cb7a7e78a0d6521451	76926	released
988a9ca4-9200-4aa9-a2f2-a96d02686c86	TCGA-LL-A5YO.C5C5D704-2558-4D4B-937B-33BD91132882.PDF	ef6763aafe4d916339ab6b6e8ba6a862	221281	released
de90bcd1-240f-4fef-b738-fb11d99b304f	TCGA-E9-A1N9.39D6D1DE-2CAE-470F-836B-926242F46E67.PDF	a51231a1277d650b6a811d456677a0a4	48166	released
b5b702dd-ef74-479c-8ab8-04cc10e3b200	nationwidechildrens.org_clinical.TCGA-AR-A1AQ.xml	59da171b3626d23cf7d2069100cfed76	89240	released
1b116a6e-ae22-4e04-b179-19025e935310	TCGA-AR-A1AQ.FC236604-AAE5-4394-9D39-270FFEFB635A.PDF	c39d6418a97d88d63b1c631db72bb23a	55184	released
4eedac98-9b98-4195-845f-aca5818c36e1	nationwidechildrens.org_clinical.TCGA-EW-A1P0.xml	81e287028520309805c2163fe0058323	69719	released
a3c9c308-d643-4d42-85e3-c04a6623b21d	TCGA-EW-A1P0.F9FB00C3-9F86-40AC-A5E8-08712CD5002B.PDF	fccd76019fec599ac1d117241b092558	213881	released
3572bd33-80a8-4c11-b09e-292be28e73d0	nationwidechildrens.org_clinical.TCGA-D8-A4Z1.xml	9122a3639e756dc6e0a58e6ce072977d	66678	released
0dcf5926-ae5f-4f36-aae7-c6a51ed1cf84	TCGA-D8-A4Z1.D77DF136-6F63-48B7-8187-6F8F98CC1F44.PDF	373b164cd4cf183bbdf4329f8644195c	99189	released
50842d60-e03f-4490-b3d5-4b01d2537328	nationwidechildrens.org_clinical.TCGA-B6-A0IO.xml	02703251a34f77ca366bc5994cd0da2e	64667	released
3d763550-2527-44cb-9259-3b4cae245d21	TCGA-B6-A0IO.9B3F0B22-8442-4720-A21B-7EF12CBCD2CE.PDF	c10e8c10b9a9071c298f636c0e1664c0	139500	released
a52065ea-fa56-4cba-bc86-3a6af0ea618e	nationwidechildrens.org_clinical.TCGA-C8-A1HF.xml	4312fe960a2f12c0d8d8a107ed68e095	50866	released
ca436e58-3866-47ca-b59b-267f587daf39	TCGA-C8-A1HF.40B07BB9-2CDB-463A-8773-771017E73DBC.PDF	6c1b08a40890d989f9c5bb4bfafd6b3b	401491	released
9df913c5-7458-474e-8ede-749d59c4cdd8	nationwidechildrens.org_clinical.TCGA-A8-A07Z.xml	dbba349f7a1aed4f4d022835f2378138	56266	released
104b72a2-966f-41b4-ae86-68172475c7c5	TCGA-A8-A07Z.DD558354-3BF1-4037-881E-011E6BFC0987.PDF	f175eb1ecd2bd9b34afedd5c385fb933	51553	released
9b6a8860-938c-48f8-8a1b-4622edc6163f	nationwidechildrens.org_clinical.TCGA-BH-A204.xml	7b06fa68f2edb7249c5e61069d2c4fe6	36331	released
f00d944c-44cb-48cc-9ef0-aaffc3b1ccab	nationwidechildrens.org_clinical.TCGA-A2-A0ES.xml	43f3807ce91531073e5bbc57e4bb2321	89959	released
97eae294-0dfd-427b-a890-b517a7a82f6d	nationwidechildrens.org_clinical.TCGA-AN-A0AT.xml	f6f9fe2a3760991e362c5534c7f331f1	50945	released
2c32ada3-7f8a-4a96-a952-b46744b5f83f	TCGA-A2-A0T3.E339A88E-3B39-465A-9545-FBA4F79727CC.PDF	75ea6c711be7650c18c034682a6230eb	240736	released
1035134a-5bc0-4cfd-9f15-f2563e451144	nationwidechildrens.org_clinical.TCGA-OL-A5RW.xml	7a0a56d27c7ffb68442e6b3f2d4e1958	82570	released
2e31bdcd-c11a-4f47-b426-6fc0fded867d	nationwidechildrens.org_clinical.TCGA-A2-A0T3.xml	b25b22ddab506c024a881b5882a8674a	95803	released
